"item.no","level","log.freq.ratio","discrimination","difficulty","guessing","inattention","tone.1","tone.2","tone.3","answer"
9,332.465,0.007441937,1.440205336,0.327644892,0.33,0.99,330,332.465,330,2
9,332.465,0.007441937,1.440205336,0.327644892,0.33,0.99,330,330,332.465,3
10,332.998,0.009043829,1.440205336,0.265285329,0.33,0.99,332.998,330,330,1
10,332.998,0.009043829,1.440205336,0.265285329,0.33,0.99,330,332.998,330,2
10,332.998,0.009043829,1.440205336,0.265285329,0.33,0.99,330,330,332.998,3
11,333.027,0.009130913,1.440205336,0.261895271,0.33,0.99,333.027,330,330,1
11,333.027,0.009130913,1.440205336,0.261895271,0.33,0.99,330,333.027,330,2
11,333.027,0.009130913,1.440205336,0.261895271,0.33,0.99,330,330,333.027,3
12,333.559,0.010727107,1.440205336,0.199757567,0.33,0.99,333.559,330,330,1
12,333.559,0.010727107,1.440205336,0.199757567,0.33,0.99,330,333.559,330,2
12,333.559,0.010727107,1.440205336,0.199757567,0.33,0.99,330,330,333.559,3
13,333.59,0.01082004,1.440205336,0.196139817,0.33,0.99,333.59,330,330,1
13,333.59,0.01082004,1.440205336,0.196139817,0.33,0.99,330,333.59,330,2
13,333.59,0.01082004,1.440205336,0.196139817,0.33,0.99,330,330,333.59,3
14,334.121,0.012410548,1.440205336,0.134223409,0.33,0.99,334.121,330,330,1
14,334.121,0.012410548,1.440205336,0.134223409,0.33,0.99,330,334.121,330,2
14,334.121,0.012410548,1.440205336,0.134223409,0.33,0.99,330,330,334.121,3
15,334.154,0.01250931,1.440205336,0.130378745,0.33,0.99,334.154,330,330,1
15,334.154,0.01250931,1.440205336,0.130378745,0.33,0.99,330,334.154,330,2
15,334.154,0.01250931,1.440205336,0.130378745,0.33,0.99,330,330,334.154,3
16,334.684,0.014094149,1.440205336,0.068683074,0.33,0.99,334.684,330,330,1
16,334.684,0.014094149,1.440205336,0.068683074,0.33,0.99,330,334.684,330,2
16,334.684,0.014094149,1.440205336,0.068683074,0.33,0.99,330,330,334.684,3
17,335.248,0.015777902,1.440205336,0.003136779,0.33,0.99,335.248,330,330,1
17,335.248,0.015777902,1.440205336,0.003136779,0.33,0.99,330,335.248,330,2
17,335.248,0.015777902,1.440205336,0.003136779,0.33,0.99,330,330,335.248,3
18,335.813,0.017461803,1.440205336,-0.062415263,0.33,0.99,335.813,330,330,1
18,335.813,0.017461803,1.440205336,-0.062415263,0.33,0.99,330,335.813,330,2
18,335.813,0.017461803,1.440205336,-0.062415263,0.33,0.99,330,330,335.813,3
19,336.379,0.019145846,1.440205336,-0.127972835,0.33,0.99,336.379,330,330,1
19,336.379,0.019145846,1.440205336,-0.127972835,0.33,0.99,330,336.379,330,2
19,336.379,0.019145846,1.440205336,-0.127972835,0.33,0.99,330,330,336.379,3
20,336.946,0.020830026,1.440205336,-0.193535726,0.33,0.99,336.946,330,330,1
20,336.946,0.020830026,1.440205336,-0.193535726,0.33,0.99,330,336.946,330,2
20,336.946,0.020830026,1.440205336,-0.193535726,0.33,0.99,330,330,336.946,3
21,337.514,0.022514336,1.440205336,-0.259103721,0.33,0.99,337.514,330,330,1
21,337.514,0.022514336,1.440205336,-0.259103721,0.33,0.99,330,337.514,330,2
21,337.514,0.022514336,1.440205336,-0.259103721,0.33,0.99,330,330,337.514,3
22,337.557,0.02264173,1.440205336,-0.264063002,0.33,0.99,337.557,330,330,1
22,337.557,0.02264173,1.440205336,-0.264063002,0.33,0.99,330,337.557,330,2
22,337.557,0.02264173,1.440205336,-0.264063002,0.33,0.99,330,330,337.557,3
23,338.082,0.024195815,1.440205336,-0.324561466,0.33,0.99,338.082,330,330,1
23,338.082,0.024195815,1.440205336,-0.324561466,0.33,0.99,330,338.082,330,2
23,338.082,0.024195815,1.440205336,-0.324561466,0.33,0.99,330,330,338.082,3
24,338.652,0.025880377,1.440205336,-0.390139234,0.33,0.99,338.652,330,330,1
24,338.652,0.025880377,1.440205336,-0.390139234,0.33,0.99,330,338.652,330,2
24,338.652,0.025880377,1.440205336,-0.390139234,0.33,0.99,330,330,338.652,3
25,339.223,0.027565054,1.440205336,-0.455721477,0.33,0.99,339.223,330,330,1
25,339.223,0.027565054,1.440205336,-0.455721477,0.33,0.99,330,339.223,330,2
25,339.223,0.027565054,1.440205336,-0.455721477,0.33,0.99,330,330,339.223,3
26,339.794,0.029246897,1.440205336,-0.52119342,0.33,0.99,339.794,330,330,1
26,339.794,0.029246897,1.440205336,-0.52119342,0.33,0.99,330,339.794,330,2
26,339.794,0.029246897,1.440205336,-0.52119342,0.33,0.99,330,330,339.794,3
27,340.367,0.030931793,1.440205336,-0.586784181,0.33,0.99,340.367,330,330,1
27,340.367,0.030931793,1.440205336,-0.586784181,0.33,0.99,330,340.367,330,2
27,340.367,0.030931793,1.440205336,-0.586784181,0.33,0.99,330,330,340.367,3
28,340.94,0.032613854,1.440205336,-0.652264614,0.33,0.99,340.94,330,330,1
28,340.94,0.032613854,1.440205336,-0.652264614,0.33,0.99,330,340.94,330,2
28,340.94,0.032613854,1.440205336,-0.652264614,0.33,0.99,330,330,340.94,3
29,341.515,0.034298947,1.440205336,-0.717863067,0.33,0.99,341.515,330,330,1
29,341.515,0.034298947,1.440205336,-0.717863067,0.33,0.99,330,341.515,330,2
29,341.515,0.034298947,1.440205336,-0.717863067,0.33,0.99,330,330,341.515,3
30,342.09,0.035981206,1.440205336,-0.783351166,0.33,0.99,342.09,330,330,1
30,342.09,0.035981206,1.440205336,-0.783351166,0.33,0.99,330,342.09,330,2
30,342.09,0.035981206,1.440205336,-0.783351166,0.33,0.99,330,330,342.09,3
31,342.667,0.037666476,1.440205336,-0.848956494,0.33,0.99,342.667,330,330,1
31,342.667,0.037666476,1.440205336,-0.848956494,0.33,0.99,330,342.667,330,2
31,342.667,0.037666476,1.440205336,-0.848956494,0.33,0.99,330,330,342.667,3
32,343.244,0.03934891,1.440205336,-0.914451444,0.33,0.99,343.244,330,330,1
32,343.244,0.03934891,1.440205336,-0.914451444,0.33,0.99,330,343.244,330,2
32,343.244,0.03934891,1.440205336,-0.914451444,0.33,0.99,330,330,343.244,3
33,343.823,0.041034336,1.440205336,-0.980062835,0.33,0.99,343.823,330,330,1
33,343.823,0.041034336,1.440205336,-0.980062835,0.33,0.99,330,343.823,330,2
33,343.823,0.041034336,1.440205336,-0.980062835,0.33,0.99,330,330,343.823,3
34,344.402,0.042716925,1.440205336,-1.045563829,0.33,0.99,344.402,330,330,1
34,344.402,0.042716925,1.440205336,-1.045563829,0.33,0.99,330,344.402,330,2
34,344.402,0.042716925,1.440205336,-1.045563829,0.33,0.99,330,330,344.402,3
35,344.982,0.044399587,1.440205336,-1.11106764,0.33,0.99,344.982,330,330,1
35,344.982,0.044399587,1.440205336,-1.11106764,0.33,0.99,330,344.982,330,2
35,344.982,0.044399587,1.440205336,-1.11106764,0.33,0.99,330,330,344.982,3
36,345.051,0.044599578,1.440205336,-1.118853004,0.33,0.99,345.051,330,330,1
36,345.051,0.044599578,1.440205336,-1.118853004,0.33,0.99,330,345.051,330,2
36,345.051,0.044599578,1.440205336,-1.118853004,0.33,0.99,330,330,345.051,3
37,345.564,0.04608521,1.440205336,-1.176686721,0.33,0.99,345.564,330,330,1
37,345.564,0.04608521,1.440205336,-1.176686721,0.33,0.99,330,345.564,330,2
37,345.564,0.04608521,1.440205336,-1.176686721,0.33,0.99,330,330,345.564,3
38,346.146,0.047767997,1.440205336,-1.242195379,0.33,0.99,346.146,330,330,1
38,346.146,0.047767997,1.440205336,-1.242195379,0.33,0.99,330,346.146,330,2
38,346.146,0.047767997,1.440205336,-1.242195379,0.33,0.99,330,330,346.146,3
39,346.729,0.049450841,1.440205336,-1.307706259,0.33,0.99,346.729,330,330,1
39,346.729,0.049450841,1.440205336,-1.307706259,0.33,0.99,330,346.729,330,2
39,346.729,0.049450841,1.440205336,-1.307706259,0.33,0.99,330,330,346.729,3
40,347.314,0.051136615,1.440205336,-1.373331251,0.33,0.99,347.314,330,330,1
40,347.314,0.051136615,1.440205336,-1.373331251,0.33,0.99,330,347.314,330,2
40,347.314,0.051136615,1.440205336,-1.373331251,0.33,0.99,330,330,347.314,3
41,347.899,0.052819553,1.440205336,-1.438845799,0.33,0.99,347.899,330,330,1
41,347.899,0.052819553,1.440205336,-1.438845799,0.33,0.99,330,347.899,330,2
41,347.899,0.052819553,1.440205336,-1.438845799,0.33,0.99,330,330,347.899,3
42,348.485,0.054502533,1.440205336,-1.504361985,0.33,0.99,348.485,330,330,1
42,348.485,0.054502533,1.440205336,-1.504361985,0.33,0.99,330,348.485,330,2
42,348.485,0.054502533,1.440205336,-1.504361985,0.33,0.99,330,330,348.485,3
43,349.072,0.05618555,1.440205336,-1.569879614,0.33,0.99,349.072,330,330,1
43,349.072,0.05618555,1.440205336,-1.569879614,0.33,0.99,330,349.072,330,2
43,349.072,0.05618555,1.440205336,-1.569879614,0.33,0.99,330,330,349.072,3
44,349.661,0.057871459,1.440205336,-1.635509827,0.33,0.99,349.661,330,330,1
44,349.661,0.057871459,1.440205336,-1.635509827,0.33,0.99,330,349.661,330,2
44,349.661,0.057871459,1.440205336,-1.635509827,0.33,0.99,330,330,349.661,3
45,350.25,0.059554531,1.440205336,-1.701029579,0.33,0.99,350.25,330,330,1
45,350.25,0.059554531,1.440205336,-1.701029579,0.33,0.99,330,350.25,330,2
45,350.25,0.059554531,1.440205336,-1.701029579,0.33,0.99,330,330,350.25,3
46,350.84,0.061237625,1.440205336,-1.766550201,0.33,0.99,350.84,330,330,1
46,350.84,0.061237625,1.440205336,-1.766550201,0.33,0.99,330,350.84,330,2
46,350.84,0.061237625,1.440205336,-1.766550201,0.33,0.99,330,330,350.84,3
47,351.431,0.062920736,1.440205336,-1.832071503,0.33,0.99,351.431,330,330,1
47,351.431,0.062920736,1.440205336,-1.832071503,0.33,0.99,330,351.431,330,2
47,351.431,0.062920736,1.440205336,-1.832071503,0.33,0.99,330,330,351.431,3
48,352.023,0.06460386,1.440205336,-1.897593296,0.33,0.99,352.023,330,330,1
48,352.023,0.06460386,1.440205336,-1.897593296,0.33,0.99,330,352.023,330,2
48,352.023,0.06460386,1.440205336,-1.897593296,0.33,0.99,330,330,352.023,3
49,352.617,0.066289828,1.440205336,-1.963225793,0.33,0.99,352.617,330,330,1
49,352.617,0.066289828,1.440205336,-1.963225793,0.33,0.99,330,352.617,330,2
49,352.617,0.066289828,1.440205336,-1.963225793,0.33,0.99,330,330,352.617,3
50,353.211,0.067972958,1.440205336,-2.028747821,0.33,0.99,353.211,330,330,1
50,353.211,0.067972958,1.440205336,-2.028747821,0.33,0.99,330,353.211,330,2
50,353.211,0.067972958,1.440205336,-2.028747821,0.33,0.99,330,330,353.211,3
51,353.806,0.069656086,1.440205336,-2.094269782,0.33,0.99,353.806,330,330,1
51,353.806,0.069656086,1.440205336,-2.094269782,0.33,0.99,330,353.806,330,2
51,353.806,0.069656086,1.440205336,-2.094269782,0.33,0.99,330,330,353.806,3
52,354.402,0.071339208,1.440205336,-2.159791489,0.33,0.99,354.402,330,330,1
52,354.402,0.071339208,1.440205336,-2.159791489,0.33,0.99,330,354.402,330,2
52,354.402,0.071339208,1.440205336,-2.159791489,0.33,0.99,330,330,354.402,3
53,355,0.073025135,1.440205336,-2.225422417,0.33,0.99,355,330,330,1
53,355,0.073025135,1.440205336,-2.225422417,0.33,0.99,330,355,330,2
53,355,0.073025135,1.440205336,-2.225422417,0.33,0.99,330,330,355,3
54,355.598,0.074708225,1.440205336,-2.290942883,0.33,0.99,355.598,330,330,1
54,355.598,0.074708225,1.440205336,-2.290942883,0.33,0.99,330,355.598,330,2
54,355.598,0.074708225,1.440205336,-2.290942883,0.33,0.99,330,330,355.598,3
55,356.197,0.076391294,1.440205336,-2.356462547,0.33,0.99,356.197,330,330,1
55,356.197,0.076391294,1.440205336,-2.356462547,0.33,0.99,330,356.197,330,2
55,356.197,0.076391294,1.440205336,-2.356462547,0.33,0.99,330,330,356.197,3
56,356.797,0.078074338,1.440205336,-2.421981228,0.33,0.99,356.797,330,330,1
56,356.797,0.078074338,1.440205336,-2.421981228,0.33,0.99,330,356.797,330,2
56,356.797,0.078074338,1.440205336,-2.421981228,0.33,0.99,330,330,356.797,3
57,357.399,0.07976015,1.440205336,-2.487607669,0.33,0.99,357.399,330,330,1
57,357.399,0.07976015,1.440205336,-2.487607669,0.33,0.99,330,357.399,330,2
57,357.399,0.07976015,1.440205336,-2.487607669,0.33,0.99,330,330,357.399,3
58,358.001,0.081443125,1.440205336,-2.553123662,0.33,0.99,358.001,330,330,1
58,358.001,0.081443125,1.440205336,-2.553123662,0.33,0.99,330,358.001,330,2
58,358.001,0.081443125,1.440205336,-2.553123662,0.33,0.99,330,330,358.001,3
59,358.604,0.083126061,1.440205336,-2.618638134,0.33,0.99,358.604,330,330,1
59,358.604,0.083126061,1.440205336,-2.618638134,0.33,0.99,330,358.604,330,2
59,358.604,0.083126061,1.440205336,-2.618638134,0.33,0.99,330,330,358.604,3
60,359.209,0.084811737,1.440205336,-2.684259283,0.33,0.99,359.209,330,330,1
60,359.209,0.084811737,1.440205336,-2.684259283,0.33,0.99,330,359.209,330,2
60,359.209,0.084811737,1.440205336,-2.684259283,0.33,0.99,330,330,359.209,3
61,359.814,0.086494577,1.440205336,-2.749770002,0.33,0.99,359.814,330,330,1
61,359.814,0.086494577,1.440205336,-2.749770002,0.33,0.99,330,359.814,330,2
61,359.814,0.086494577,1.440205336,-2.749770002,0.33,0.99,330,330,359.814,3
62,359.933,0.086825249,1.440205336,-2.762642616,0.33,0.99,359.933,330,330,1
62,359.933,0.086825249,1.440205336,-2.762642616,0.33,0.99,330,359.933,330,2
62,359.933,0.086825249,1.440205336,-2.762642616,0.33,0.99,330,330,359.933,3
63,360.42,0.088177364,1.440205336,-2.815278671,0.33,0.99,360.42,330,330,1
63,360.42,0.088177364,1.440205336,-2.815278671,0.33,0.99,330,360.42,330,2
63,360.42,0.088177364,1.440205336,-2.815278671,0.33,0.99,330,330,360.42,3
64,361.028,0.089862863,1.440205336,-2.880892943,0.33,0.99,361.028,330,330,1
64,361.028,0.089862863,1.440205336,-2.880892943,0.33,0.99,330,361.028,330,2
64,361.028,0.089862863,1.440205336,-2.880892943,0.33,0.99,330,330,361.028,3
65,361.636,0.091545527,1.440205336,-2.946396809,0.33,0.99,361.636,330,330,1
65,361.636,0.091545527,1.440205336,-2.946396809,0.33,0.99,330,361.636,330,2
65,361.636,0.091545527,1.440205336,-2.946396809,0.33,0.99,330,330,361.636,3
66,362.246,0.093230885,1.440205336,-3.012005569,0.33,0.99,362.246,330,330,1
66,362.246,0.093230885,1.440205336,-3.012005569,0.33,0.99,330,362.246,330,2
66,362.246,0.093230885,1.440205336,-3.012005569,0.33,0.99,330,330,362.246,3
67,362.856,0.094913407,1.440205336,-3.077503941,0.33,0.99,362.856,330,330,1
67,362.856,0.094913407,1.440205336,-3.077503941,0.33,0.99,330,362.856,330,2
67,362.856,0.094913407,1.440205336,-3.077503941,0.33,0.99,330,330,362.856,3
68,363.468,0.096598606,1.440205336,-3.143106503,0.33,0.99,363.468,330,330,1
68,363.468,0.096598606,1.440205336,-3.143106503,0.33,0.99,330,363.468,330,2
68,363.468,0.096598606,1.440205336,-3.143106503,0.33,0.99,330,330,363.468,3
69,364.08,0.098280969,1.440205336,-3.208598697,0.33,0.99,364.08,330,330,1
69,364.08,0.098280969,1.440205336,-3.208598697,0.33,0.99,330,364.08,330,2
69,364.08,0.098280969,1.440205336,-3.208598697,0.33,0.99,330,330,364.08,3
70,364.694,0.099965991,1.440205336,-3.274194383,0.33,0.99,364.694,330,330,1
70,364.694,0.099965991,1.440205336,-3.274194383,0.33,0.99,330,364.694,330,2
70,364.694,0.099965991,1.440205336,-3.274194383,0.33,0.99,330,330,364.694,3
71,365.308,0.101648179,1.440205336,-3.339679724,0.33,0.99,365.308,330,330,1
71,365.308,0.101648179,1.440205336,-3.339679724,0.33,0.99,330,365.308,330,2
71,365.308,0.101648179,1.440205336,-3.339679724,0.33,0.99,330,330,365.308,3
72,365.924,0.103333007,1.440205336,-3.405267861,0.33,0.99,365.924,330,330,1
72,365.924,0.103333007,1.440205336,-3.405267861,0.33,0.99,330,365.924,330,2
72,365.924,0.103333007,1.440205336,-3.405267861,0.33,0.99,330,330,365.924,3
73,366.541,0.10501773,1.440205336,-3.470851885,0.33,0.99,366.541,330,330,1
73,366.541,0.10501773,1.440205336,-3.470851885,0.33,0.99,330,366.541,330,2
73,366.541,0.10501773,1.440205336,-3.470851885,0.33,0.99,330,330,366.541,3
74,367.159,0.106702342,1.440205336,-3.53643163,0.33,0.99,367.159,330,330,1
74,367.159,0.106702342,1.440205336,-3.53643163,0.33,0.99,330,367.159,330,2
74,367.159,0.106702342,1.440205336,-3.53643163,0.33,0.99,330,330,367.159,3
75,367.777,0.108384122,1.440205336,-3.601901085,0.33,0.99,367.777,330,330,1
75,367.777,0.108384122,1.440205336,-3.601901085,0.33,0.99,330,367.777,330,2
75,367.777,0.108384122,1.440205336,-3.601901085,0.33,0.99,330,330,367.777,3
76,369.018,0.111752769,1.440205336,-3.73303807,0.33,0.99,369.018,330,330,1
76,369.018,0.111752769,1.440205336,-3.73303807,0.33,0.99,330,369.018,330,2
76,369.018,0.111752769,1.440205336,-3.73303807,0.33,0.99,330,330,369.018,3
77,369.64,0.113436905,1.440205336,-3.798599248,0.33,0.99,369.64,330,330,1
77,369.64,0.113436905,1.440205336,-3.798599248,0.33,0.99,330,369.64,330,2
77,369.64,0.113436905,1.440205336,-3.798599248,0.33,0.99,330,330,369.64,3
78,370.263,0.115120909,1.440205336,-3.864155336,0.33,0.99,370.263,330,330,1
78,370.263,0.115120909,1.440205336,-3.864155336,0.33,0.99,330,370.263,330,2
78,370.263,0.115120909,1.440205336,-3.864155336,0.33,0.99,330,330,370.263,3
79,370.887,0.11680478,1.440205336,-3.929706174,0.33,0.99,370.887,330,330,1
79,370.887,0.11680478,1.440205336,-3.929706174,0.33,0.99,330,370.887,330,2
79,370.887,0.11680478,1.440205336,-3.929706174,0.33,0.99,330,330,370.887,3
80,371.512,0.118488511,1.440205336,-3.995251604,0.33,0.99,371.512,330,330,1
80,371.512,0.118488511,1.440205336,-3.995251604,0.33,0.99,330,371.512,330,2
80,371.512,0.118488511,1.440205336,-3.995251604,0.33,0.99,330,330,371.512,3
81,372.138,0.120172099,1.440205336,-4.060791466,0.33,0.99,372.138,330,330,1
81,372.138,0.120172099,1.440205336,-4.060791466,0.33,0.99,330,372.138,330,2
81,372.138,0.120172099,1.440205336,-4.060791466,0.33,0.99,330,330,372.138,3
82,372.765,0.12185554,1.440205336,-4.126325603,0.33,0.99,372.765,330,330,1
82,372.765,0.12185554,1.440205336,-4.126325603,0.33,0.99,330,372.765,330,2
82,372.765,0.12185554,1.440205336,-4.126325603,0.33,0.99,330,330,372.765,3
83,373.394,0.123541508,1.440205336,-4.191958117,0.33,0.99,373.394,330,330,1
83,373.394,0.123541508,1.440205336,-4.191958117,0.33,0.99,330,373.394,330,2
83,373.394,0.123541508,1.440205336,-4.191958117,0.33,0.99,330,330,373.394,3
84,374.023,0.125224638,1.440205336,-4.257480162,0.33,0.99,374.023,330,330,1
84,374.023,0.125224638,1.440205336,-4.257480162,0.33,0.99,330,374.023,330,2
84,374.023,0.125224638,1.440205336,-4.257480162,0.33,0.99,330,330,374.023,3
85,374.653,0.12690761,1.440205336,-4.322996017,0.33,0.99,374.653,330,330,1
85,374.653,0.12690761,1.440205336,-4.322996017,0.33,0.99,330,374.653,330,2
85,374.653,0.12690761,1.440205336,-4.322996017,0.33,0.99,330,330,374.653,3
86,375.285,0.128593083,1.440205336,-4.388609258,0.33,0.99,375.285,330,330,1
86,375.285,0.128593083,1.440205336,-4.388609258,0.33,0.99,330,375.285,330,2
86,375.285,0.128593083,1.440205336,-4.388609258,0.33,0.99,330,330,375.285,3
87,375.917,0.13027572,1.440205336,-4.454112095,0.33,0.99,375.917,330,330,1
87,375.917,0.13027572,1.440205336,-4.454112095,0.33,0.99,330,375.917,330,2
87,375.917,0.13027572,1.440205336,-4.454112095,0.33,0.99,330,330,375.917,3
88,376.551,0.131960842,1.440205336,-4.519711666,0.33,0.99,376.551,330,330,1
88,376.551,0.131960842,1.440205336,-4.519711666,0.33,0.99,330,376.551,330,2
88,376.551,0.131960842,1.440205336,-4.519711666,0.33,0.99,330,330,376.551,3
89,377.185,0.133643129,1.440205336,-4.585200879,0.33,0.99,377.185,330,330,1
89,377.185,0.133643129,1.440205336,-4.585200879,0.33,0.99,330,377.185,330,2
89,377.185,0.133643129,1.440205336,-4.585200879,0.33,0.99,330,330,377.185,3
90,377.821,0.135327884,1.440205336,-4.650786175,0.33,0.99,377.821,330,330,1
90,377.821,0.135327884,1.440205336,-4.650786175,0.33,0.99,330,377.821,330,2
90,377.821,0.135327884,1.440205336,-4.650786175,0.33,0.99,330,330,377.821,3
91,378.458,0.137012448,1.440205336,-4.716364024,0.33,0.99,378.458,330,330,1
91,378.458,0.137012448,1.440205336,-4.716364024,0.33,0.99,330,378.458,330,2
91,378.458,0.137012448,1.440205336,-4.716364024,0.33,0.99,330,330,378.458,3
92,379.096,0.138696817,1.440205336,-4.781934276,0.33,0.99,379.096,330,330,1
92,379.096,0.138696817,1.440205336,-4.781934276,0.33,0.99,330,379.096,330,2
92,379.096,0.138696817,1.440205336,-4.781934276,0.33,0.99,330,330,379.096,3
93,379.735,0.140380987,1.440205336,-4.847496785,0.33,0.99,379.735,330,330,1
93,379.735,0.140380987,1.440205336,-4.847496785,0.33,0.99,330,379.735,330,2
93,379.735,0.140380987,1.440205336,-4.847496785,0.33,0.99,330,330,379.735,3
94,380.375,0.142064954,1.440205336,-4.913051404,0.33,0.99,380.375,330,330,1
94,380.375,0.142064954,1.440205336,-4.913051404,0.33,0.99,330,380.375,330,2
94,380.375,0.142064954,1.440205336,-4.913051404,0.33,0.99,330,330,380.375,3
95,381.016,0.143748715,1.440205336,-4.978597988,0.33,0.99,381.016,330,330,1
95,381.016,0.143748715,1.440205336,-4.978597988,0.33,0.99,330,381.016,330,2
95,381.016,0.143748715,1.440205336,-4.978597988,0.33,0.99,330,330,381.016,3
96,386.835,0.158905591,1.440205336,-5.568635179,0.33,0.99,386.835,330,330,1
96,386.835,0.158905591,1.440205336,-5.568635179,0.33,0.99,330,386.835,330,2
96,386.835,0.158905591,1.440205336,-5.568635179,0.33,0.99,330,330,386.835,3
97,390.01,0.167079725,1.440205336,-5.886843435,0.33,0.99,390.01,330,330,1
97,390.01,0.167079725,1.440205336,-5.886843435,0.33,0.99,330,390.01,330,2
97,390.01,0.167079725,1.440205336,-5.886843435,0.33,0.99,330,330,390.01,3
98,390.106,0.167325843,1.440205336,-5.896424454,0.33,0.99,390.106,330,330,1
98,390.106,0.167325843,1.440205336,-5.896424454,0.33,0.99,330,390.106,330,2
98,390.106,0.167325843,1.440205336,-5.896424454,0.33,0.99,330,330,390.106,3
99,390.763,0.169008584,1.440205336,-5.961931341,0.33,0.99,390.763,330,330,1
99,390.763,0.169008584,1.440205336,-5.961931341,0.33,0.99,330,390.763,330,2
99,390.763,0.169008584,1.440205336,-5.961931341,0.33,0.99,330,330,390.763,3
